h,N,H2_rbst,H2_sing,time_rbst,time_sing
2,3,29.2941568052075,26.2004781139984,1.97492138,3.84391839
4,10,100.707424127517,90.933580942907,2.46254608,3.94176109
6,21,161.831279256056,146.635171668453,2.95890381,3.16611035
8,36,222.998335878788,202.451680563405,3.06555532,3.39492555
10,55,283.362925322835,257.556501094849,4.16013532,5.06102094
12,78,343.245433107697,312.228197409647,4.69389652,7.3768782
14,105,402.832911671711,366.633227351385,5.29803091,6.2230085
16,136,462.228780005444,420.864835738637,6.58832986,7.85350653
18,171,521.495146776034,474.978014546792,7.36060883,8.21947291
20,210,580.670311763223,529.008248983041,8.61018464,9.47239189
22,253,639.775148180603,582.976608417158,10.4718836,13.28002028
24,300,698.830722870488,636.898601523004,9.8449108,14.6667189
26,351,757.846576168724,690.782998130864,11.6081143,14.8708256
28,406,816.833451148976,744.642786602662,14.3783182,16.49914017
30,465,875.796130359191,798.478871331295,15.953731,17.38132419
32,528,934.734119982067,852.296236394827,18.87782714,17.80236695
34,595,993.658501300578,906.099689191291,18.33852515,20.84047901
36,666,1052.5690129965,959.889091350624,22.26054677,24.18468578
38,741,1111.48579922585,1013.67012127117,23.88114065,25.99776774
40,820,1170.35553414392,1067.43817371709,29.65214657,29.52810713
42,903,1229.25287264446,1121.19837413943,30.41749986,32.797771
44,990,1288.10805222895,1174.9731796958,34.17934761,35.37043657
46,1081,1346.98713452175,1228.71253461752,37.15446747,36.12735611
48,1176,1405.87444025769,1282.46147296454,38.73518168,40.92179808
50,1275,1464.69993796886,1336.20359067379,46.42412521,40.90722898
52,1378,1523.55491910059,1389.94304433467,48.11120182,44.46482997
54,1485,1582.39376880405,1443.68166284703,45.91595277,46.00494701
56,1596,1641.25792663427,1497.41459824274,55.24763036,52.05851588
58,1711,1700.09599267699,1551.1593081026,63.20369046,51.01505936
60,1830,1758.93487553746,1604.88312173152,61.80346192,53.46909583
62,1953,1817.77008218336,1658.59092956375,67.35151955,64.71533395
64,2080,1876.64129505784,1712.32359267064,68.15164547,67.21376666
66,2211,1935.46147954024,1766.02909813052,76.88533728,65.36595282
68,2346,1994.25435653313,1819.76730371525,78.25009232,70.77260633
70,2485,2053.14369041119,1873.49376403248,83.58916848,74.7799034
72,2628,2111.9302049667,1927.19949348935,84.92223723,87.45237498
74,2775,2170.79915989269,1980.89913535266,88.06954134,85.50590915
76,2926,2229.64211970197,2034.61696294614,97.89225905,97.11975394
78,3081,2288.40301643184,2088.33938592358,108.4956617,99.54620702
80,3240,2347.25991288987,2142.06250828234,103.90781236,95.55828044
82,3403,2406.1287596514,2195.75037769967,114.02488896,114.05427921
84,3570,2464.92609441945,2249.46271947093,113.84158866,118.54483798
86,3741,2523.76552604481,2303.16991205052,120.9100493,118.48406885
88,3916,2582.55658791046,2356.87821811804,152.23406293,124.79140372
90,4095,2641.43448735499,2410.56932142037,135.59434313,138.60529015
92,4278,2700.18361078366,2464.2527715321,130.61681711,149.02730001
94,4465,2759.03970857397,2517.9420433111,146.89130854,137.82076728
96,4656,Inf,2571.6402925146,157.08011136,159.0400006
98,4851,2876.64234902587,2625.36024462233,160.47098996,155.83767153
100,5050,Inf,2679.05691466848,164.31992352,161.9769159
102,5253,2994.24792243418,2732.79251865276,187.14668346,171.94231127
104,5460,3053.05871570108,2786.50057270413,189.68779733,171.77805645
106,5671,3111.89317670324,2840.15178074375,186.24667372,198.99587192
108,5886,3170.75643921638,2893.85793684584,205.7118716,199.21584174
110,6105,3229.54436901379,2947.59126219252,216.25607917,196.83173725
112,6328,3288.33306223382,3001.24944796856,195.18406901,223.69442636
114,6555,3347.20508990461,3054.96337309919,223.46065118,218.60557136
116,6786,Inf,3108.66610627911,229.44517009,225.92442639
118,7021,Inf,3162.3479932058,234.60260663,235.176169
120,7260,Inf,3216.03925894345,237.6415061,236.16874393
122,7503,Inf,3269.74615575222,215.88357863,229.2519895
124,7750,Inf,3323.42952734948,241.82306731,237.50049328
126,8001,Inf,3377.1504374522,247.41003676,255.82086082
128,8256,Inf,3430.84098057748,223.9929648,257.82095147
130,8515,Inf,3484.55835683287,241.87534188,244.54532308
132,8778,Inf,3538.27289725897,276.44854891,274.20753761
134,9045,Inf,3591.94414176322,279.19897342,280.0436553
136,9316,Inf,3645.62972125112,295.27397844,305.38347376
138,9591,Inf,3699.32849346855,321.12786722,318.36511531
140,9870,Inf,3753.02111931457,342.29085822,317.66170883
142,10153,Inf,3806.74883402748,336.30619995,332.79868685
